20 3.614513e+02 2.858409e+01 3.900354e+02 2.942100e+00 
20 3.614513e+02 2.858409e+01 3.900354e+02 2.942100e+00 
20 3.512059e+02 1.651246e+01 3.677184e+02 1.452198e+00 
20 3.287417e+02 1.743998e+01 3.461817e+02 1.288371e+00 
70 3.838508e+02 1.417357e+01 3.980244e+02 1.954930e+00 
190 3.051036e+02 1.218930e+02 4.269965e+02 5.068339e+00 
190 3.051036e+02 1.218930e+02 4.269965e+02 5.068339e+00 
190 3.051036e+02 1.218930e+02 4.269965e+02 5.068339e+00 
310 2.484867e+02 4.186032e+01 2.903470e+02 1.669710e+00 
310 2.225986e+02 5.021692e+02 7.247678e+02 1.369399e+01 
430 2.346205e+02 2.192289e+02 4.538493e+02 6.863476e+00 
430 7.888109e+02 8.041310e+01 8.692240e+02 3.828407e+00 
430 7.888109e+02 8.041310e+01 8.692240e+02 3.828407e+00 
430 7.888109e+02 8.041310e+01 8.692240e+02 3.828407e+00 
430 7.828954e+02 2.918601e+01 8.120814e+02 2.442797e+00 
670 6.897477e+02 8.099232e+01 7.707401e+02 3.341674e+00 
430 6.897477e+02 8.099232e+01 7.707401e+02 3.341674e+00 
790 7.642176e+03 1.331824e+01 7.655494e+03 1.569956e+01 
790 4.639831e+14 1.710530e+08 4.639833e+14 9.279683e+11 
790 1.532784e+49 1.626407e+13 1.532784e+49 3.065568e+46 
790 1.532784e+49 1.626407e+13 1.532784e+49 3.065568e+46 
430 1.532784e+49 1.626407e+13 1.532784e+49 3.065568e+46 
430 1.532784e+49 1.626407e+13 1.532784e+49 3.065568e+46 
430 1.532784e+49 9.079171e+11 1.532784e+49 3.065568e+46 
90 1.532784e+49 5.914242e+15 1.532784e+49 3.065568e+46 
790 5.152656e+53 2.680450e+02 5.152656e+53 1.030531e+51 
790 5.152656e+53 2.600402e+03 5.152656e+53 1.030531e+51 
0 3.904128e+02 5.142111e+00 3.955549e+02 1.439111e+00 
0 3.904128e+02 5.142111e+00 3.955549e+02 1.439111e+00 
0 3.904128e+02 5.142111e+00 3.955549e+02 1.439111e+00 
